0.00	0.00	0.00	0.00	0.31	0.10	0.15	0.14	0.02	0.01	0.04	0.05	0.04	0.09	0.05
0.00	0.00	0.00	0.00	0.25	0.08	0.12	0.11	0.05	0.02	0.07	0.06	0.05	0.11	0.07
0.00	0.00	0.00	0.00	0.26	0.09	0.13	0.12	0.03	0.02	0.05	0.07	0.05	0.12	0.07
0.00	0.00	0.00	0.00	0.22	0.07	0.11	0.10	0.03	0.01	0.04	0.09	0.07	0.17	0.10
0.00	0.00	0.00	0.00	0.44	0.15	0.21	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.44	0.15	0.21	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.44	0.15	0.21	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.44	0.15	0.21	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.17	0.50	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.17	0.50	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.17	0.50	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.16	0.39	0.24
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.16	0.39	0.24
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.16	0.39	0.24
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.16	0.39	0.24
