   0,   1,   0,   1,   3,   2,   0,   0,   0,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0
   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   2,   0,   0,   9,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   6,   0,   0,   0,   4,   1,   0,   5,   0
   1,   0,   0,   0,   0,   0,   0,   9,   0,   0,   0,   2,   0,   0,   1,   0,   0,   6,   0,   0
   3,   0,   0,   0,   0,   3,   1,   0,   5,  10,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0
   2,   0,   0,   0,   3,   0,   0,   0,   7,   5,  14,   0,   0,   0,   0,   0,   0,   0,   0,   2
   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   4,   1,  11,   0,   0,   0,   0,   9
   0,   0,   0,   9,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   3,   0,   0
   0,   0,   0,   0,   5,   7,   0,   0,   0,   7,  16,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,  10,   5,   0,   0,   7,   0,  13,   0,   0,   0,   0,   0,   0,   0,   0,   0
   5,   0,   0,   0,   2,  14,   0,   0,  16,  13,   0,   0,   2,   0,   2,   0,   0,   0,   0,   0
   0,   2,   6,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   6,   0,   0,   8,   0
   0,   0,   0,   0,   0,   0,   4,   0,   0,   0,   2,   0,   0,   6,   2,   0,   0,   0,   0,   4
   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   6,   0,   4,   0,   0,   0,   0,   1
   0,   0,   0,   1,   0,   0,  11,   0,   0,   0,   2,   0,   2,   4,   0,   0,   0,   0,   0,   2
   0,   2,   4,   0,   0,   0,   0,   0,   0,   0,   0,   6,   0,   0,   0,   0,   0,   0,   4,   0
   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   0,   0
   0,   0,   0,   6,   0,   0,   0,   3,   0,   0,   0,   0,   0,   0,   0,   0,   5,   0,   0,   0
   0,   9,   5,   0,   0,   0,   0,   0,   0,   0,   0,   8,   0,   0,   0,   4,   0,   0,   0,   0
   0,   0,   0,   0,   0,   2,   9,   0,   0,   0,   0,   0,   4,   1,   2,   0,   0,   0,   0,   0
